RowNumber,CustomerID,Surname,CreditScore,Country,Gender,Married,Age,Dependents,NumBankAccts,HasCrCard,EmergingMarketFund,RealEstate,PrivateEquity,GovtBonds,CorpBonds,ETF Tech,ETF Health,ETF Med,EstimatedSalary,Mortgage,Risk Profile,Debt,Net Assets,Portfolio Return,Diversification,BusinessOwner,Revenue,Margin,LifeInsurance,NumTransactions,LastTransactionDate,LastTransactionAmt,ForeignAssets,NumProducts,Churn,Discount,Retention,CLV
30,15656300,Lucciano,411,France,Male,0,29,0,2,1,1,0,1,1,1,0,1,1,53483,0,0.19,30162,61790,0.1789,0.4779,0,82037.18,0.09,1,2,6/20/2018,9127.3,0.4,5,1,0.49,,
31,15589475,Azikiwe,591,Spain,Female,1,39,2,3,1,1,1,0,1,1,0,1,1,140469,1,0.12,0,26559,0.1105,0.44,1,67255.96,0.1,0,3,4/4/2015,3936.5,0.05,5,0,0.1,,
32,15706552,Odinakachukwu,533,France,Male,1,36,4,1,0,0,0,0,0,0,1,1,0,156732,0,0.23,9714,95203,0.1024,0.4606,1,26780.16,0.06,1,7,3/1/2016,6233.6,0.4,2,0,0.13,,
33,15750181,Sanderson,553,Germany,Male,1,41,0,2,0,1,1,1,1,0,0,1,1,81899,0,0.06,3038,30186,0.1511,0.3922,0,25750.44,0.13,0,1,1/17/2017,1981.4,0.4,6,0,0.6,,
34,15659428,Maggard,520,Spain,Female,0,42,0,2,1,0,1,0,1,1,1,0,0,34411,0,0.24,22296,61535,0.1163,0.2386,1,90635.21,0.12,1,5,11/7/2017,1843,0.37,6,0,0.49,,
35,15732963,Clements,722,Spain,Female,1,29,2,2,1,0,1,1,1,1,0,0,1,142033,0,0.01,21511,85702,0.1725,0.149,0,95259.12,0.1,1,1,1/4/2016,9450.8,0,6,0,0.46,,
36,15794171,Lombardo,475,France,Female,0,45,1,1,1,0,0,0,0,0,1,1,1,27823,1,0.35,27314,64460,0.127,0.2351,1,8078.2,0.06,0,7,4/22/2016,8396.9,0.27,5,0,0.42,,
37,15788448,Watson,490,Spain,Male,1,31,3,1,0,1,1,0,1,1,1,1,0,114067,0,0.38,37252,68719,0.1795,0.1864,0,14154.66,0.04,1,7,6/20/2015,9695.7,0,5,1,0.66,,
38,15729599,Lorenzo,804,Spain,Male,1,33,0,1,0,1,1,0,1,1,0,1,1,98453,0,0.09,36138,83162,0.1171,0.2346,0,7336.09,0.04,1,1,2/10/2016,4598.6,0.36,6,1,0.39,,
39,15717426,Armstrong,850,France,Male,0,36,0,1,1,0,0,0,1,0,0,0,1,40813,0,0.09,41136,41409,0.0821,0.2723,1,85104.41,0.11,1,1,5/1/2017,3381.4,0.14,1,0,0.72,,
40,15585768,Cameron,582,Germany,Male,1,41,5,2,0,0,0,1,1,1,1,0,1,178074,0,0.4,3486,60758,0.1383,0.3375,0,97816.55,0.13,1,4,3/18/2016,6127.8,0.36,1,0,0.03,,
41,15619360,Hsiao,472,Spain,Male,1,40,0,1,1,0,0,0,0,1,1,1,1,70154,0,0.24,13952,61400,0.1778,0.3257,1,26103.77,0.04,0,3,4/24/2016,2221.7,0.31,2,1,0.05,,
42,15738148,Clarke,465,France,Female,1,51,4,1,0,1,1,0,1,0,0,0,0,181298,1,0.33,14994,33861,0.088,0.1421,1,27734.2,0.04,0,2,6/27/2015,3200.9,0.43,3,1,0.16,,
43,15687946,Osborne,556,France,Female,1,61,1,1,1,1,1,0,1,1,0,0,0,94154,0,0,5531,54101,0.1524,0.4786,0,13747.59,0.06,1,3,5/20/2018,2628.6,0,5,0,0.35,,
44,15755196,Lavine,834,France,Female,1,49,2,1,0,0,1,0,1,0,0,1,1,194366,1,0.01,13866,65140,0.0986,0.4057,0,59687.76,0.07,0,2,10/17/2017,1260.8,0,2,0,0.47,,
45,15684171,Bianchi,660,Spain,Female,1,61,4,1,1,0,0,0,0,0,1,1,0,158338,0,0.38,0,58694,0.1289,0.2702,0,47637.92,0.11,1,5,12/27/2018,1452.4,0.22,5,0,0.7,,
46,15754849,Tyler,776,Germany,Female,1,32,4,2,1,1,0,1,1,0,0,0,1,126517,0,0.28,36192,74888,0.0966,0.3217,1,46990.13,0.09,1,9,12/26/2018,908.7,0.26,2,1,0.65,,
47,15602280,Martin,829,Germany,Female,1,27,2,1,1,1,0,1,0,0,1,1,1,119708,1,0.14,27634,45461,0.0961,0.1823,0,25144.16,0.06,1,6,5/3/2018,8305.1,0,5,1,0.5,,
48,15771573,Okagbue,637,Germany,Female,1,39,2,1,1,0,0,0,1,0,1,1,1,117623,1,0.02,14782,77748,0.1123,0.291,1,22936.73,0.06,1,10,7/28/2016,3955.9,0,2,1,0.24,,
49,15766205,Yin,550,Germany,Male,1,38,0,1,0,1,0,1,0,0,0,0,1,90878,0,0.2,22402,73318,0.1745,0.1706,1,59886.35,0.13,1,9,10/21/2017,2532,0,3,0,0.1,,
50,15771873,Buccho,776,Germany,Female,1,37,4,2,1,0,0,0,1,1,0,0,1,194099,0,0.38,39124,48983,0.1384,0.3405,0,37842.72,0.06,0,7,12/10/2018,4096.5,0.39,4,0,0.05,,
51,15616550,Chidiebele,698,Germany,Male,1,44,5,2,1,1,0,1,1,1,1,0,0,198059,0,0.18,0,53994,0.1297,0.1339,1,54410.66,0.09,0,4,12/31/2016,7404.1,0.43,6,1,0.68,,
52,15768193,Trevisani,585,Germany,Male,1,36,0,2,0,0,1,0,1,1,0,1,0,86425,0,0.15,20619,94032,0.1481,0.3066,1,58934.83,0.11,0,7,4/16/2015,2737.2,0.28,3,1,0.36,,
53,15683553,O'Brien,788,France,Female,1,33,4,2,0,0,0,1,1,1,1,0,0,116978,0,0.09,22480,47141,0.1228,0.4389,1,56282.98,0.08,0,5,6/8/2018,520.8,0.25,3,0,0.04,,
54,15702298,Parkhill,655,Germany,Male,1,41,3,1,0,0,1,1,1,0,0,1,0,164041,1,0.19,44724,85046,0.0871,0.2308,0,34453.54,0.07,0,10,12/28/2016,8751.6,0,5,0,0.57,,
55,15569590,Yoo,601,Germany,Male,0,42,1,1,1,0,1,0,0,1,0,1,0,40015,1,0.48,24255,64720,0.1644,0.1039,1,18640.09,0.12,0,10,6/9/2018,3091.8,0.13,2,0,0.32,,
56,15760861,Phillipps,619,France,Male,1,43,3,1,1,0,1,0,0,1,0,0,0,113410,0,0.48,44518,47387,0.1716,0.3617,0,12304.39,0.04,1,2,5/6/2017,9790.2,0,4,0,0.44,,
57,15630053,Tsao,656,France,Male,1,45,1,1,1,1,0,1,1,0,1,1,1,87108,0,0.36,14238,53654,0.1362,0.4744,1,14749.89,0.04,0,6,11/30/2016,6441.4,0.38,2,0,0.09,,
58,15647091,Endrizzi,725,Germany,Male,0,19,0,1,0,0,1,0,0,1,1,1,0,45614,0,0.18,21563,26346,0.1625,0.2,0,52073.34,0.06,0,1,1/12/2016,1102.8,0,2,1,0.45,,
59,15623944,T'ien,511,Spain,Female,0,66,1,1,1,1,1,1,1,1,0,1,0,1643,1,0.11,10558,73851,0.1512,0.4492,1,29968.55,0.04,0,4,2/8/2017,9617.5,0.13,3,0,0.16,,
60,15804771,Velazquez,614,France,Male,0,51,0,1,1,0,1,1,0,0,1,0,0,46775,0,0.06,0,64138,0.1242,0.2955,1,52462.49,0.06,1,6,12/20/2017,4247.4,0.14,6,1,0.58,,
61,15651280,Hunter,742,Germany,Male,1,35,1,1,0,0,0,0,0,1,1,1,1,84510,0,0.03,3084,50165,0.175,0.3409,0,83502.11,0.12,0,8,10/10/2016,6159.6,0,3,1,0.44,,
62,15773469,Clark,687,Germany,Female,1,27,2,2,0,0,1,1,1,1,0,0,0,126495,0,0.5,42362,65944,0.1705,0.3238,0,22334.83,0.08,0,2,4/18/2017,7655,0.22,1,1,0.69,,
63,15702014,Jeffrey,555,Spain,Male,1,33,2,2,0,0,0,0,0,1,1,0,0,178798,0,0.31,33763,87387,0.1391,0.3381,1,16063.12,0.11,0,7,10/30/2017,9137.1,0.28,5,1,0.16,,
64,15751208,Pirozzi,684,Spain,Male,1,56,0,1,1,0,1,0,0,1,1,1,0,99398,0,0.28,17393,24907,0.0991,0.1533,1,18481.86,0.1,1,2,5/17/2017,1753.6,0.11,2,1,0.54,,
65,15592461,Jackson,603,Germany,Male,1,26,1,1,1,1,0,1,0,1,1,0,1,92841,0,0.3,20013,41554,0.1387,0.3271,0,8712.58,0.05,1,9,5/8/2018,2045.8,0,5,0,0.19,,
66,15789484,Hammond,751,Germany,Female,0,36,0,2,1,0,1,1,0,0,0,1,1,27758,0,0.39,33650,84455,0.1077,0.2141,1,58497.09,0.12,1,1,8/5/2016,2637,0.19,5,1,0.15,,
67,15696061,Brownless,581,Germany,Female,1,34,3,1,1,0,0,0,0,1,1,0,1,110432,0,0.18,15394,91318,0.1293,0.2859,1,52832.55,0.08,0,2,1/25/2017,881.8,0.12,5,0,0.23,,
68,15641582,Chibugo,735,Germany,Male,1,43,3,2,1,0,0,0,1,1,1,1,0,196673,0,0.36,2556,35415,0.1317,0.1012,1,37296.01,0.07,1,3,1/8/2019,2300.7,0,5,1,0.46,,
69,15638424,Glauert,661,Germany,Female,1,35,4,2,0,0,0,1,0,0,0,1,1,113657,0,0.2,43954,81946,0.1152,0.2419,0,40201.97,0.09,1,6,3/29/2016,9741.9,0.42,2,0,0.48,,
70,15755648,Pisano,675,France,Female,0,21,1,1,1,0,1,1,0,1,1,0,1,18203,0,0.44,44344,80909,0.0937,0.1323,1,18396.55,0.11,0,2,6/14/2016,3916.8,0.19,5,1,0.49,,
71,15703793,Konovalova,738,Germany,Male,0,58,0,4,1,0,1,1,1,1,0,0,0,28374,1,0.23,18501,52869,0.1529,0.1549,0,43642.76,0.1,0,10,5/11/2017,8808.7,0.46,2,1,0.21,,
72,15620344,McKee,813,France,Male,0,29,0,1,1,1,1,1,0,0,1,0,0,33954,0,0.02,16541,91263,0.1661,0.2535,0,30644.48,0.13,0,4,2/14/2019,4706.1,0,1,0,0.71,,
73,15812518,Palermo,657,Spain,Female,0,37,0,1,0,1,0,1,1,0,1,0,0,44204,0,0.27,33920,90947,0.0884,0.3,1,38417.33,0.06,1,1,2/14/2015,4243.5,0.27,5,0,0.1,,
74,15779052,Ballard,604,Germany,Female,0,25,1,2,1,1,1,1,0,0,1,1,1,58427,0,0.22,11989,84036,0.117,0.3526,1,49314.02,0.1,1,5,2/10/2015,1735.6,0,2,0,0.36,,
75,15770811,Wallace,519,France,Male,1,36,2,2,0,1,0,1,0,0,0,0,1,145562,0,0.09,26912,27683,0.1312,0.2627,1,43558.38,0.1,1,5,7/18/2015,7838.2,0,6,0,0.45,,
76,15780961,Cavenagh,735,France,Female,0,21,0,2,1,0,0,1,1,1,1,1,1,22388,0,0.2,982,51218,0.1424,0.3941,0,7601,0.04,0,2,10/13/2016,1233.7,0.38,2,1,0.71,,
77,15614049,Hu,664,France,Male,1,55,3,2,1,1,1,0,0,1,1,1,0,139162,0,0.14,6620,57727,0.17,0.2178,1,25254.62,0.06,1,10,11/24/2016,3981.2,0.33,5,0,0.23,,
78,15662085,Read,678,France,Female,1,32,4,1,1,1,0,1,0,1,0,0,1,148211,0,0.03,6514,32247,0.1146,0.1392,0,36428.62,0.04,1,7,10/21/2018,6842.9,0.03,2,0,0.06,,
79,15575185,Bushell,757,Spain,Male,1,33,3,1,0,0,1,1,1,0,0,0,1,194240,0,0.26,0,40246,0.1097,0.3533,1,12402.8,0.07,1,7,4/7/2018,8977.6,0.26,1,0,0.23,,
80,15803136,Postle,416,Germany,Female,1,41,1,2,1,1,1,0,1,1,0,0,1,98302,0,0.45,4094,27023,0.1712,0.4024,0,65513.11,0.09,0,1,6/26/2016,8422,0.4,4,0,0.18,,
81,15706021,Buley,665,France,Female,1,34,2,2,0,1,1,0,0,1,0,1,0,171414,0,0.04,10000,41340,0.1117,0.2127,0,41018.72,0.08,0,10,6/29/2016,6744.2,0,6,0,0.61,,
82,15663706,Leonard,777,France,Female,1,32,5,1,1,0,1,0,1,1,0,0,0,136458,1,0.12,27013,30450,0.1424,0.3647,1,34165.33,0.05,0,8,7/12/2018,3266.3,0.47,2,1,0.47,,
83,15641732,Mills,543,France,Female,0,36,1,2,0,1,0,1,0,1,0,0,0,26020,0,0.46,6267,54345,0.0999,0.4011,1,26199.81,0.04,0,1,5/3/2018,524.6,0.48,5,0,0.69,,
84,15701164,Onyeorulu,506,France,Female,1,34,5,1,1,1,0,0,1,1,1,1,0,159235,0,0.37,38337,80118,0.1237,0.288,1,36619.63,0.05,1,5,10/15/2018,8791,0.26,6,1,0.73,,
85,15738751,Beit,493,France,Female,0,46,1,2,1,1,1,1,0,1,0,0,1,1908,0,0.03,11929,39963,0.149,0.4199,0,31233.95,0.09,0,2,3/30/2019,673.5,0.02,3,1,0.58,,
86,15805254,Ndukaku,652,Spain,Female,1,75,3,2,1,0,1,1,0,1,1,0,0,114676,0,0.27,20411,23004,0.1156,0.1833,1,30556.71,0.03,1,3,7/18/2015,1976,0.01,5,1,0.4,,
87,15762418,Gant,750,Spain,Male,1,22,5,1,1,1,1,1,0,1,0,0,1,128643,1,0.26,31396,31698,0.1329,0.431,0,16900.76,0.05,0,5,9/16/2017,1448.8,0.27,6,1,0.58,,
88,15625759,Rowley,729,France,Male,1,30,5,2,1,0,1,0,0,1,1,1,0,151869,0,0.35,3600,56828,0.097,0.4686,1,52651.65,0.06,0,3,4/2/2015,6447.3,0,6,1,0.08,,
89,15622897,Sharpe,646,France,Female,1,46,0,3,1,0,0,1,0,0,0,1,0,93251,1,0.05,11872,22902,0.1386,0.3071,1,48189.64,0.07,0,6,4/14/2018,2162,0.17,5,1,0.25,,
90,15767954,Osborne,635,Germany,Female,1,28,5,2,1,1,0,0,0,0,1,1,0,156791,0,0.11,7236,78091,0.1706,0.378,0,6273.73,0.04,1,7,7/19/2018,9001.7,0.27,1,1,0.07,,
91,15757535,Heap,647,Spain,Female,1,44,2,3,1,0,0,0,0,0,0,0,1,174205,1,0.16,0,98000,0.176,0.2587,1,36984.14,0.13,1,7,8/29/2017,5426.6,0,6,0,0.49,,
92,15731511,Ritchie,808,France,Male,1,45,4,2,1,0,1,1,0,1,1,0,1,147132,0,0.45,41944,70554,0.1471,0.2602,0,71972.53,0.12,0,10,5/28/2015,2281.7,0.11,4,0,0.34,,
93,15809248,Cole,524,France,Female,1,36,5,2,1,1,0,1,1,1,0,1,0,109615,0,0.4,3525,89349,0.1318,0.2173,1,19637.56,0.11,0,9,1/2/2018,8111.8,0,5,1,0.4,,
94,15640635,Capon,769,France,Male,1,29,3,2,1,0,1,0,1,0,0,0,0,172291,0,0.35,33102,73036,0.0845,0.1116,0,17138.31,0.09,1,4,8/6/2018,7454.6,0,5,1,0.73,,
95,15676966,Capon,730,Spain,Male,1,42,1,2,0,1,1,0,1,1,1,0,1,85982,0,0.08,5752,90129,0.129,0.1709,1,20742.67,0.1,1,9,7/13/2017,4458.9,0.15,3,1,0.72,,
96,15699461,Fiorentini,515,Spain,Male,1,35,5,1,0,0,0,1,1,1,0,1,1,121278,0,0.25,14472,47223,0.1706,0.4315,1,22082.47,0.04,1,7,9/18/2015,8381.4,0.04,3,0,0.67,,
97,15738721,Graham,773,Spain,Male,1,41,1,1,0,1,1,1,0,0,1,1,1,64595,0,0.42,28013,21083,0.1004,0.2627,0,56703.23,0.09,1,10,5/22/2018,4210.9,0,6,0,0.17,,
98,15693683,Yuille,814,Germany,Male,1,29,3,2,1,1,1,1,1,1,1,1,1,197276,0,0.49,15700,66385,0.1452,0.3235,0,99333.97,0.12,1,3,5/10/2019,7012.2,0.5,4,1,0.48,,
99,15604348,Allard,710,Spain,Male,1,22,0,2,0,1,0,1,0,1,1,0,1,99645,0,0.5,18941,31103,0.1575,0.3625,1,9608.64,0.08,0,4,8/16/2017,3257.3,0.48,5,1,0.71,,
100,15633059,Fanucci,413,France,Male,0,34,0,2,0,0,0,1,0,1,0,0,0,6534,0,0.18,38730,40631,0.1468,0.3334,0,82357.15,0.12,0,5,7/22/2017,570.2,0.16,2,0,0.41,,
101,15808582,Fu,665,France,Female,1,40,3,1,1,1,1,1,0,0,0,0,0,161848,0,0.49,21058,89427,0.1234,0.3308,0,72506.27,0.08,1,8,10/11/2016,1612.4,0.33,1,0,0.5,,
102,15743192,Hung,623,France,Female,1,44,5,2,0,1,0,0,0,0,0,0,1,167162,0,0.26,24876,66184,0.1501,0.2685,1,8242.7,0.08,0,10,1/8/2016,7274.3,0,2,0,0.57,,
103,15580146,Hung,738,France,Male,0,31,0,1,1,1,0,0,1,0,0,1,0,41971,0,0.4,9136,36277,0.1569,0.2248,1,9737.31,0.06,0,9,11/23/2018,8938,0,4,0,0.15,,
104,15776605,Bradley,528,Spain,Male,1,36,1,2,1,1,1,1,1,1,1,0,0,60537,0,0.43,17578,31072,0.1547,0.3873,0,12877.9,0.08,0,7,8/27/2016,4320.7,0,5,0,0.04,,
105,15804919,Dunbabin,670,Spain,Female,1,65,2,1,1,1,0,0,1,1,1,0,0,177656,1,0.39,29937,67242,0.176,0.2117,1,7949.03,0.03,1,6,3/13/2019,2126.8,0,1,0,0.25,,
106,15613854,Mauldon,622,Spain,Female,0,46,1,2,1,0,1,0,1,0,1,1,1,30985,1,0.02,35373,96159,0.1426,0.4431,1,71527.33,0.09,1,4,12/27/2018,1729.2,0.21,1,0,0.19,,
107,15599195,Stiger,582,Germany,Male,0,32,0,1,1,0,1,0,0,1,0,1,1,10055,0,0.25,6828,47454,0.1523,0.1764,0,80294.76,0.11,1,8,12/7/2017,5902,0.12,1,1,0.71,,
108,15812878,Parsons,785,Germany,Female,0,36,0,1,0,0,1,1,1,1,0,0,1,36977,0,0.3,5557,81482,0.1145,0.2656,1,30345.26,0.1,1,10,1/2/2019,3938.6,0.24,2,0,0.12,,
109,15602312,Walkom,605,Spain,Male,1,33,1,1,0,1,1,0,0,0,0,0,1,71863,0,0.43,40123,38683,0.126,0.4582,1,70772.9,0.11,0,5,4/20/2015,1921.8,0,6,1,0.14,,
110,15744689,T'ang,479,Germany,Male,1,35,1,1,1,0,1,0,1,1,0,0,0,99450,1,0.09,12627,51161,0.1188,0.3034,0,17047.84,0.04,0,2,2/3/2018,3725.9,0,3,1,0.12,,
111,15803526,Eremenko,685,Germany,Male,1,30,0,1,0,1,1,0,1,0,1,0,0,63083,0,0.15,34025,24996,0.1299,0.4191,0,11593.77,0.05,1,6,8/27/2016,7291.1,0.42,4,0,0.14,,
112,15665790,Rowntree,538,Germany,Male,0,39,0,2,1,0,1,1,1,1,1,1,1,27231,0,0.4,0,50279,0.0861,0.1181,1,90032.51,0.09,0,7,8/2/2017,395.6,0.3,1,1,0.15,,
113,15715951,Thorpe,562,France,Male,1,42,0,1,0,1,0,1,1,0,0,1,0,86797,0,0.32,43988,24493,0.1132,0.135,1,72220.27,0.09,0,7,2/25/2015,2036.6,0.19,6,0,0.4,,
114,15591100,Chiemela,675,Spain,Male,0,36,0,1,0,0,1,1,0,0,1,1,0,22994,0,0.2,31920,96678,0.1794,0.1816,0,39974.93,0.05,1,1,4/28/2015,4938.5,0.1,1,0,0.58,,
115,15609618,Fanucci,721,Germany,Male,1,28,5,2,0,0,1,1,1,1,1,1,1,101301,1,0.13,25278,70722,0.1791,0.4142,0,32567.18,0.03,1,7,4/26/2015,8193,0,4,0,0.62,,
116,15675522,Ko,628,Germany,Female,1,30,0,2,1,1,1,1,1,0,1,0,1,74169,0,0,5264,49807,0.0846,0.1048,1,68741.82,0.08,1,5,12/10/2017,5393,0.04,6,1,0.2,,
117,15705512,Welch,668,Germany,Female,1,37,4,1,1,1,1,0,1,0,0,0,1,115638,0,0.17,13587,92113,0.1152,0.4499,1,37848.57,0.12,0,3,1/17/2017,604.7,0,4,0,0.75,,
118,15698028,Duncan,506,France,Female,0,41,1,2,1,1,1,0,1,1,1,0,0,31766,0,0.36,43648,22507,0.0949,0.1854,1,40669.19,0.05,0,3,5/14/2018,1858.9,0,6,1,0.43,,
119,15661670,Chidozie,524,Germany,Female,1,31,4,1,1,0,0,0,1,1,0,1,0,199725,1,0.46,40436,22532,0.1247,0.2931,0,16370.25,0.13,0,1,7/18/2016,4910,0,1,0,0.3,,
120,15600781,Wu,699,Germany,Male,1,34,4,2,1,1,0,0,0,0,1,1,0,120834,0,0.4,0,44334,0.084,0.1586,0,17998.49,0.06,0,3,4/3/2015,1731.3,0.39,6,1,0.03,,
121,15682472,Culbreth,828,France,Male,0,34,1,2,0,0,1,1,1,1,0,1,0,38132,0,0.48,34463,94054,0.1216,0.4422,0,106841.87,0.13,0,9,2/4/2018,4296.1,0.02,3,0,0.21,,
122,15580203,Kennedy,674,Spain,Male,1,39,4,1,0,0,1,1,1,0,1,1,0,100131,0,0.41,16163,42363,0.1756,0.3021,0,30274.57,0.07,0,4,8/4/2015,6574.9,0.15,2,1,0.19,,
123,15690673,Cameron,656,France,Female,1,39,2,2,1,0,0,1,1,0,0,0,0,141070,0,0.23,0,46862,0.1047,0.3548,1,71524.35,0.07,0,7,10/7/2018,6198.9,0,5,1,0.69,,
